GEO_ID,NAME,state,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED0_PF,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED12_PF,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,PRED3_PF,Total_Population_E,Total_Population_M,Housing_Units_E,Housing_Units_M,Hispanic_PE,Hispanic_PM,Hispanic_PF,NH_White_alone_PE,NH_White_alone_PM,NH_White_alone_PF,NH_Black_alone_PE,NH_Black_alone_PM,NH_Black_alone_PF,NH_AIAN_alone_PE,NH_AIAN_alone_PM,NH_AIAN_alone_PF,NH_Asian_alone_PE,NH_Asian_alone_PM,NH_Asian_alone_PF,NH_NHPI_alone_PE,NH_NHPI_alone_PM,NH_NHPI_alone_PF,NH_SOR_alone_PE,NH_SOR_alone_PM,NH_SOR_alone_PF,NH_Two_or_More_PE,NH_Two_or_More_PM,NH_Two_or_More_PF,Male_PE,Male_PM,Male_PF,Female_PE,Female_PM,Female_PF,civ_vet_PE,civ_vet_PM,civ_vet_PF,GINI_IND_Inequality_E,GINI_IND_Inequality_M,GINI_IND_Inequality_F,Rural_Pop_PE,Rural_Pop_PF,Median_age_E,Median_age_M,Median_age_F,65_plus_PE,65_plus_PM,65_plus_PF,Disabled_PE,Disabled_PM,Disabled_PF,Blw_Pov_Lvl_PE,Blw_Pov_Lvl_PM,Blw_Pov_Lvl_PF,Female_no_partner_w_child_PE,Female_no_partner_w_child_PM,Female_no_partner_w_child_PF,Male_no_partner_w_child_PE,Male_no_partner_w_child_PM,Male_no_partner_w_child_PF,crowd_occ_PE,crowd_occ_PM,crowd_occ_PF,HS_Grad_PE,HS_Grad_PM,HS_Grad_PF,ENG_LVW_PE,ENG_LVW_PM,ENG_LVW_PF,WRK_FT_YR_PE,WRK_FT_YR_PM,WRK_FT_YR_PF,No_Health_Ins_PE,No_Health_Ins_PM,No_Health_Ins_PF,Broadband_PE,Broadband_PM,Broadband_PF,No_Veh_PE,No_Veh_PM,No_Veh_PF,HO_Vac_PE,HO_Vac_PM,HO_Vac_PF,Rent_Vac_PE,Rent_Vac_PM,Rent_Vac_PF
0500000US01021,Chilton County, Alabama,12461,4428,28.16,10,0,20344,4750,45.97,10.73,0,11452,4265,25.88,9.64,0,44055,-555555555,19781,60,7.8,-555555555,-1,80.1,0.1,1,9.2,0.7,-1,0.1,0.1,-1,0.4,0.2,-1,0,0.1,-1,0.1,0.1,0,2.2,0.7,0,48.7,0.6,0,51.3,0.6,0,7.6,1.2,0,0.4719,0.0339,0,86.74,2,38.7,0.7,0,16,0.1,1,19.4,1.5,1,19.1,2.9,1,6.5,1.7,0,1,0.5,0,0.7,0.3,-1,81.8,1.9,-1,3.2,0.7,-1,45.1,2.5,-1,13,1.6,1,68.7,2.6,-1,5,1.1,-1,2.9,1.3,0,7,4,0
0500000US01023,Choctaw County, Alabama,2830,1275,22.54,10.15,-1,5421,1422,43.18,11.33,0,4302,1357,34.27,10.81,1,12925,-555555555,7359,47,0.4,0.4,-1,56.4,0.1,-1,42.6,0.6,1,0.1,0.1,-1,0.1,0.1,-1,0,0.3,0,0.1,0.1,0,0.4,0.3,-1,47.5,0.6,-1,52.5,0.6,1,8.6,1.7,0,0.469,0.0201,0,100,3,46.3,0.3,1,22.6,-555555555,1,26.7,2.1,1,23.3,3.4,1,6.5,2,0,0.4,0.5,-1,0.2,0.2,-1,81.4,2.7,-1,0.4,0.4,-1,36.9,3.9,-1,10.3,2,0,61.3,4.2,-1,9.2,2.5,0,0.6,0.8,-1,1.5,2.3,-1
0500000US01025,Clarke County, Alabama,5797,2653,24.65,11.28,0,10278,2965,43.7,12.61,0,7447,2812,31.66,11.95,0,24128,-555555555,12784,44,0.3,0.3,-1,52.7,0.1,-1,45.8,0.5,1,0.1,0.1,-1,0.4,0.1,-1,0,0.1,-1,0,0.1,-1,0.6,0.5,-1,47.3,0.2,-1,52.7,0.2,1,6.2,1,-1,0.5158,0.022,1,75.98,2,42.5,0.8,1,19.4,0.1,1,18.2,1.5,1,23.2,3.3,1,4.8,1.3,0,2.1,1.2,0,0.1,0.2,-1,80.6,2.1,-1,0.6,0.5,-1,38.9,2.4,-1,9.7,1.4,0,57.5,3.8,-1,8.1,1.7,0,1.4,1,0,4.5,3.1,0
0500000US01027,Clay County, Alabama,3217,1406,24.45,10.69,0,5728,1516,43.53,11.52,0,4214,1395,32.02,10.6,0,13337,-555555555,6799,45,3.1,-555555555,-1,80.4,0.2,1,15.5,0.6,1,0,0.2,-1,0.2,0.2,-1,0,0.2,0,0.1,0.2,0,0.7,0.5,-1,48.3,0.8,-1,51.7,0.8,1,6,1.6,0,0.4615,0.0391,0,100,3,43.3,0.8,1,20.2,0.1,1,17.4,2.4,1,17.9,3.3,1,8.6,2.6,1,1.7,1.3,0,0.9,0.7,0,76.7,3.5,-1,0.1,0.2,-1,45.9,3.5,-1,10.3,2.6,0,70.1,4.2,-1,4.8,1.7,-1,2,1.2,0,4.9,3.1,0
0500000US01029,Cleburne County, Alabama,5228,1531,35.28,10.33,0,6006,1623,40.53,10.95,0,3585,1452,24.19,9.8,0,14916,-555555555,6844,56,2.5,-555555555,-1,92.7,0.2,1,2.7,0.7,-1,0.1,0.1,-1,0,0.1,-1,0,0.2,0,0.1,0.2,0,1.9,0.7,0,49,0.8,0,51,0.8,0,6.1,1.1,-1,0.457,0.0263,0,100,3,43.1,0.8,1,19.4,0.6,1,21.9,2.1,1,17.3,3.5,1,2.7,1.3,-1,0.3,0.3,-1,0.1,0.2,-1,79,2.5,-1,1.2,0.5,-1,45.3,3.4,-1,12.3,1.8,1,64.3,3.2,-1,5,1.6,-1,1,0.9,0,6.1,5.1,0
0500000US01031,Coffee County, Alabama,17942,5241,34.37,10.04,0,21267,5420,40.74,10.38,0,12994,4590,24.89,8.79,0,51662,-555555555,23188,63,7.3,-555555555,-1,70.1,0.1,1,16.8,0.5,1,1.2,0.2,1,1.4,0.3,-1,0,0.1,-1,0.1,0.1,0,3.1,0.6,1,49.3,0.1,0,50.7,0.1,0,16.4,1.1,1,0.4327,0.013,-1,47.2,1,39.3,0.3,1,16.5,0.1,1,17.8,1.1,1,15.1,1.4,1,7.7,1.3,1,1.7,0.7,0,0.2,0.1,-1,85.9,1.4,-1,2.3,0.6,-1,50.1,1.7,0,9.8,0.9,1,80,1.7,-1,5.9,1.1,-1,2.1,0.9,0,6.7,2.2,0
0500000US01033,Colbert County, Alabama,18099,5557,32.86,10.09,0,22141,5741,40.2,10.42,0,14843,4960,26.95,9,0,54771,-555555555,26588,64,2.8,-555555555,-1,78.2,0.1,1,16.1,0.4,1,0.6,0.3,0,0.5,0.1,-1,0.1,0.1,0,0.1,0.1,0,1.7,0.5,-1,48,0.3,-1,52,0.3,1,8.9,0.8,1,0.4467,0.0159,-1,43.89,1,42.4,0.4,1,19.4,0.1,1,18.5,1,1,15.5,1.7,1,5.4,1.2,0,1,0.4,0,0,0.1,-1,85.2,1.5,-1,1,0.3,-1,48.4,1.8,-1,7.2,0.9,-1,70.1,2,-1,5.5,1,-1,1.4,0.5,0,10.5,2.9,1
0500000US01035,Conecuh County, Alabama,3630,1378,30.19,11.47,0,4119,1575,34.26,13.1,0,4273,1519,35.54,12.63,1,12394,-555555555,7182,27,0.7,1,-1,50,0.1,-1,47.8,1.4,1,0.2,0.3,-1,0.5,0.4,-1,0,0.3,0,0,0.1,-1,0.8,0.8,-1,49,1.7,0,51,1.7,0,5.9,1.6,0,0.4296,0.0337,-1,80.95,2,44.8,0.3,1,22.2,-555555555,1,22.4,2.7,1,17.6,4.3,0,8.7,3.5,0,0.6,0.6,-1,0.4,0.7,0,84.3,2.6,-1,0,0.3,-1,41.8,4.3,-1,12.7,2.6,1,52.7,5.3,-1,6.8,2.9,0,2,1.3,0,20.5,9.4,1
0500000US01037,Coosa County, Alabama,2829,1128,26.91,10.73,0,4131,1251,39.3,11.9,0,3551,1185,33.78,11.27,1,10757,-555555555,6585,56,1,0.9,-1,64.8,0.8,1,33.6,0.9,1,0.1,0.1,-1,0,0.3,-1,0,0.3,0,0.5,0.8,0,0,0.3,-1,50.8,1,1,49.2,1,-1,10.4,1.6,1,0.4515,0.0463,0,100,3,48.4,1,1,22.6,-555555555,1,22.9,3.4,1,13.5,3.4,0,3.6,1.9,0,0,0.8,-1,1.2,1.2,0,80,3.2,-1,0.5,0.7,-1,45.2,4.6,-1,8,2.5,0,69.5,4.7,-1,4,1.8,-1,3.7,2.1,0,3.5,3.6,0
0500000US01039,Covington County, Alabama,10089,3536,27.36,9.59,0,15065,3814,40.85,10.34,0,11723,3491,31.79,9.47,1,37200,-555555555,18976,104,1.7,-555555555,-1,83.3,0.1,1,13.4,0.3,1,0.1,0.1,-1,0.4,0.1,-1,0.1,0.1,0,0,0.1,-1,1.1,0.3,-1,48.3,0.2,-1,51.7,0.2,1,10,0.9,1,0.4598,0.0166,-1,69.65,2,43.3,0.5,1,20.8,0.2,1,21.1,1.2,1,18.6,1.9,1,6.5,1,1,0.6,0.4,-1,0.4,0.3,-1,83.4,1.6,-1,0.3,0.2,-1,48,2,-1,11.1,1.4,1,70.7,2.1,-1,5.4,1,-1,2.3,0.9,0,6.6,2.6,0
0500000US01041,Crenshaw County, Alabama,3542,1421,25.72,10.32,0,5703,1543,41.41,11.2,0,4527,1430,32.87,10.38,1,13844,-555555555,6815,35,0.8,0.5,-1,71,0.2,1,23.1,1.5,1,0.7,0.3,0,1.3,0.1,-1,0.1,0.1,0,0,0.2,0,3.1,1.4,0,48.7,0.3,-1,51.3,0.3,1,6.6,1,0,0.4921,0.0438,0,100,3,41.7,0.8,1,18.8,0.3,1,20.5,1.6,1,15.2,2.8,0,6,1.7,0,1.1,0.8,0,0.2,0.4,-1,79.2,2.7,-1,1.2,0.5,-1,44.8,2.7,-1,8.7,1.5,0,65.1,2.9,-1,6.8,1.5,-1,1.3,0.8,0,10.5,4.4,1
0500000US01043,Cullman County, Alabama,25997,7516,31.22,9.03,0,36832,7969,44.23,9.57,0,20448,7085,24.55,8.51,0,82853,-555555555,37842,100,4.4,-555555555,-1,91.9,0.1,1,1.2,0.1,-1,0.3,0.2,-1,0.4,0.2,-1,0,0.1,-1,0.1,0.1,0,1.8,0.3,-1,49.2,0.3,0,50.8,0.3,0,8,0.8,0,0.4416,0.0146,-1,73.24,2,40.8,0.3,1,18.2,0.1,1,17.7,1,1,14.9,1.3,1,4.5,0.8,0,1.5,0.5,0,0.7,0.4,0,81.6,1.2,-1,1.6,0.4,-1,47.6,1.6,-1,11.1,1,1,74.1,1.6,-1,3.8,0.8,-1,2,0.8,0,6.8,2.5,0
0500000US01045,Dale County, Alabama,14114,4452,28.75,9.07,0,21082,4857,42.95,9.89,0,13894,4403,28.3,8.97,0,49277,-555555555,23103,122,6.5,-555555555,-1,68.6,0.3,1,19.8,0.4,1,0.6,0.2,0,1.2,0.2,-1,0,0.1,-1,0.3,0.3,0,3,0.5,1,49.3,0.2,0,50.7,0.2,0,16.4,0.9,1,0.4479,0.013,-1,50.89,2,37.3,0.5,-1,16.4,0.2,1,21.2,1.3,1,17.6,2.2,1,5.9,1.1,0,1.1,0.4,0,0.5,0.3,-1,86.1,1.4,-1,2.2,0.5,-1,47.9,2.2,-1,11.6,1.4,1,77,1.8,-1,4.9,1,-1,1.5,0.9,0,9.6,2.4,1
0500000US01047,Dallas County, Alabama,9377,3812,25.38,10.32,0,14920,4464,40.38,12.08,0,12655,4294,34.25,11.62,1,39149,-555555555,20419,66,1.1,-555555555,-1,27.3,0.1,-1,70.4,0.1,1,0.1,0.1,-1,0.6,0.1,-1,0,0.1,-1,0,0.1,-1,0.5,0.2,-1,46.1,0.2,-1,53.9,0.2,1,6.1,0.9,-1,0.4691,0.0149,0,45.64,1,39.6,0.4,1,17.4,0.1,1,17.6,1.5,1,29.1,2.9,1,10.9,1.4,1,0.9,0.5,0,0.7,0.4,0,81.8,1.8,-1,0.3,0.1,-1,42.7,2.4,-1,11.1,1.5,1,69.7,2.6,-1,14,2,1,2.7,1.3,0,6.4,2.2,0
0500000US01049,DeKalb County, Alabama,22907,6329,32.12,8.88,0,28714,6849,40.27,9.61,0,19685,6180,27.61,8.67,0,71310,-555555555,31309,116,14.6,-555555555,-1,80.4,0.1,1,1.4,0.2,-1,1.1,0.3,1,0.1,0.1,-1,0.2,0.2,0,0,0.1,-1,2.1,0.4,0,49.5,0.2,1,50.5,0.2,-1,6.3,0.6,-1,0.4723,0.0193,0,90.13,2,39.5,0.4,1,16.7,0.2,1,13.5,0.9,0,21.1,2.1,1,5,0.9,0,1.3,0.4,0,0.5,0.3,-1,74.8,1.6,-1,5.5,0.7,-1,47.3,2,-1,13.7,1.1,1,72,2,-1,5.2,1.1,-1,1.9,0.7,0,5.5,2,0
0500000US01051,Elmore County, Alabama,29122,7492,37.57,9.67,0,30362,7927,39.17,10.23,0,18028,6994,23.26,9.02,0,81144,-555555555,34165,136,3,-555555555,-1,73.2,0.3,1,21.2,0.2,1,0.3,0.1,-1,0.5,0.1,-1,0,0.1,-1,0.2,0.3,0,1.6,0.3,-1,48.3,0.2,-1,51.7,0.2,1,10.6,0.9,1,0.4413,0.0185,-1,54.19,2,38.7,0.3,1,14.9,0.2,-1,17.1,1.1,1,11.5,1.7,-1,5.4,1.1,0,1,0.3,0,0.7,0.5,0,86.6,1.2,-1,1.7,0.5,-1,49.5,1.6,0,7.4,0.8,-1,81.5,1.6,0,4.5,0.9,-1,2.7,1,1,6.9,2.4,0
0500000US01053,Escambia County, Alabama,9184,3309,26.77,9.65,0,14358,3637,41.85,10.6,0,10767,3379,31.38,9.85,0,37057,-555555555,16586,119,2.3,-555555555,-1,60.2,0.1,-1,32,0.5,1,4,0.2,1,0.3,0.4,-1,0.1,0.2,0,0.1,0.1,0,0.9,0.3,-1,50.9,0.4,1,49.1,0.4,-1,7.4,1,0,0.4818,0.0207,0,63.51,2,40,0.5,1,17.7,0.2,1,18,1.5,1,22.2,2.6,1,6.9,1.6,0,0.5,0.3,-1,0.4,0.4,-1,81.1,2,-1,0.6,0.4,-1,40,2.6,-1,14.2,1.8,1,61,2.8,-1,5.1,1.2,-1,2,1.3,0,9.1,3.4,0
0500000US01055,Etowah County, Alabama,31759,10191,31.43,10.08,0,41321,10890,40.89,10.78,0,27971,9790,27.68,9.69,0,102748,-555555555,47704,99,3.9,-555555555,-1,77.9,0.1,1,15.4,0.3,1,0.4,0.2,-1,0.7,0.1,-1,0,0.1,-1,0.1,0.1,0,1.6,0.3,-1,48.2,0.2,-1,51.8,0.2,1,8.4,0.6,1,0.4594,0.0156,-1,37.48,1,41.4,0.3,1,18.7,0.1,1,18.4,0.9,1,17.4,1.2,1,6.5,0.8,1,1,0.4,0,0.1,0.1,-1,84.6,1.1,-1,2,0.5,-1,47.1,1.6,-1,10.6,0.7,1,76.5,1.4,-1,6.1,0.8,-1,1.3,0.6,0,8.6,2.2,1
0500000US01057,Fayette County, Alabama,4306,1657,26.59,10.23,0,6815,1788,42.08,11.04,0,5076,1642,31.34,10.14,0,16494,-555555555,8505,67,1.8,-555555555,-1,84.5,0.2,1,11.2,0.8,-1,0,0.2,-1,0.5,0.1,-1,0,0.1,-1,0,0.2,0,2,0.8,0,49.3,0.8,0,50.7,0.8,0,8.4,1.2,0,0.461,0.0349,0,80.23,2,43.7,0.6,1,20.8,0.3,1,26.1,2.1,1,19.4,3,1,3.1,1.2,-1,2.2,1.3,0,0.6,0.5,0,82.6,2.8,-1,0.2,0.2,-1,44.8,3.3,-1,7.6,1.5,0,70.3,3.3,-1,7.5,1.9,0,2,1.5,0,9,6.3,0
0500000US01059,Franklin County, Alabama,8663,3241,27.7,10.36,0,13728,3548,43.9,11.35,0,8883,3226,28.4,10.32,0,31466,-555555555,14052,36,17.2,-555555555,-1,76.8,0.1,1,4.3,0.3,-1,0.3,0.3,-1,0.4,0.1,-1,0,0.1,-1,0,0.1,-1,1,0.5,-1,49.8,0.8,0,50.2,0.8,0,5.6,1,-1,0.4276,0.0212,-1,70.37,2,38.6,2.1,0,16.9,0.4,1,15,1.4,1,19.4,3,1,5.7,1.8,0,1.1,0.9,0,0.4,0.4,-1,77.2,2.2,-1,8.4,1.2,0,50.5,2.8,0,11.7,2.4,1,61.9,3.7,-1,4.9,1.7,-1,3.1,1.4,1,11.7,5.6,1
0500000US01061,Geneva County, Alabama,8808,2458,33.6,9.38,0,9731,2642,37.12,10.08,0,7679,2410,29.29,9.19,0,26417,-555555555,12869,43,4,-555555555,-1,83.9,0.1,1,9.4,0.5,-1,0.9,0.2,0,0.4,0.1,-1,0,0.1,-1,0,0.1,-1,1.4,0.5,-1,48.6,0.4,-1,51.4,0.4,1,11.6,1.3,1,0.44,0.0175,-1,89.64,2,43.2,0.6,1,20,0.3,1,23.6,2.3,1,22,2.7,1,5.4,1.3,0,1.4,1.1,0,0.3,0.3,-1,80.3,2.2,-1,1.1,0.4,-1,47.4,3.3,-1,12.6,1.6,1,67.1,2.9,-1,6.1,1.6,-1,2.5,1.3,0,4.5,3.1,0
0500000US01063,Greene County, Alabama,1533,883,18.9,10.89,-1,3266,1058,40.27,13.05,0,3312,1048,40.83,12.92,1,8324,-555555555,5112,29,1.7,2.3,-1,17.2,0.4,-1,79.5,2.7,1,0.4,0.7,0,0,0.4,-1,0,0.4,0,0,0.4,0,1.1,0.9,-1,46.2,1.7,-1,53.8,1.7,1,7.1,2.7,0,0.5115,0.0405,0,100,3,40.9,3,0,21.3,-555555555,1,24.7,3.8,1,38.1,6.5,1,8.1,3.7,0,0.8,1.4,0,0.4,0.5,-1,79.2,4.2,-1,0.2,0.4,-1,36.6,5.6,-1,12.8,3.1,1,51.3,7.6,-1,18,5.8,1,1.1,1.3,0,0.7,1.3,-1
0500000US01065,Hale County, Alabama,3431,1569,23.5,10.75,-1,6341,1793,43.44,12.29,0,4825,1721,33.05,11.79,0,14809,-555555555,7792,48,0,0.1,-1,39.5,0.4,-1,59.4,0.6,1,0.2,0.3,-1,0.2,0.3,-1,0,0.2,0,0.2,0.4,0,0.4,0.5,-1,47.5,0.4,-1,52.5,0.4,1,7.1,1.4,0,0.4994,0.0313,0,89.17,2,40.5,1.8,1,18.8,-555555555,1,21.2,2.6,1,24.2,3.9,1,6.9,2,0,1.2,0.8,0,0.5,0.6,0,84,2.6,-1,0.4,0.3,-1,40.7,4,-1,9.5,1.9,0,61.5,3.4,-1,10,2.5,0,1.3,1,0,0,2.3,-1
